"family","name","nativeName","639-1","639-2","639-2/B"
"Northwest Caucasian","Abkhaz","аҧсуа бызшәа, аҧсшәа","ab","abk",
"Afro-Asiatic","Afar","Afaraf","aa","aar",
"Indo-European","Afrikaans","Afrikaans","af","afr",
"Niger–Congo","Akan","Akan","ak","aka",
"Indo-European","Albanian","Shqip","sq","sqi","alb"
"Afro-Asiatic","Amharic","አማርኛ","am","amh",
"Afro-Asiatic","Arabic","العربية","ar","ara",
"Indo-European","Aragonese","aragonés","an","arg",
"Indo-European","Armenian","Հայերեն","hy","hye","arm"
"Indo-European","Assamese","অসমীয়া","as","asm",
"Northeast Caucasian","Avaric","авар мацӀ, магӀарул мацӀ","av","ava",
"Indo-European","Avestan","avesta","ae","ave",
"Aymaran","Aymara","aymar aru","ay","aym",
"Turkic","Azerbaijani","azərbaycan dili","az","aze",
"Niger–Congo","Bambara","bamanankan","bm","bam",
"Turkic","Bashkir","башҡорт теле","ba","bak",
"Language isolate","Basque","euskara, euskera","eu","eus","baq"
"Indo-European","Belarusian","беларуская мова","be","bel",
"Indo-European","Bengali, Bangla","বাংলা","bn","ben",
"Indo-European","Bihari","भोजपुरी","bh","bih",
"Creole","Bislama","Bislama","bi","bis",
"Indo-European","Bosnian","bosanski jezik","bs","bos",
"Indo-European","Breton","brezhoneg","br","bre",
"Indo-European","Bulgarian","български език","bg","bul",
"Sino-Tibetan","Burmese","ဗမာစာ","my","mya","bur"
"Indo-European","Catalan","català","ca","cat",
"Austronesian","Chamorro","Chamoru","ch","cha",
"Northeast Caucasian","Chechen","нохчийн мотт","ce","che",
"Niger–Congo","Chichewa, Chewa, Nyanja","chiCheŵa, chinyanja","ny","nya",
"Sino-Tibetan","Chinese","中文 (Zhōngwén), 汉语, 漢語","zh","zho","chi"
"Turkic","Chuvash","чӑваш чӗлхи","cv","chv",
"Indo-European","Cornish","Kernewek","kw","cor",
"Indo-European","Corsican","corsu, lingua corsa","co","cos",
"Algonquian","Cree","ᓀᐦᐃᔭᐍᐏᐣ","cr","cre",
"Indo-European","Croatian","hrvatski jezik","hr","hrv",
"Indo-European","Czech","čeština, český jazyk","cs","ces","cze"
"Indo-European","Danish","dansk","da","dan",
"Indo-European","Divehi, Dhivehi, Maldivian","ދިވެހި","dv","div",
"Indo-European","Dutch","Nederlands, Vlaams","nl","nld","dut"
"Sino-Tibetan","Dzongkha","རྫོང་ཁ","dz","dzo",
"Indo-European","English","English","en","eng",
"Constructed","Esperanto","Esperanto","eo","epo",
"Uralic","Estonian","eesti, eesti keel","et","est",
"Niger–Congo","Ewe","Eʋegbe","ee","ewe",
"Indo-European","Faroese","føroyskt","fo","fao",
"Austronesian","Fijian","vosa Vakaviti","fj","fij",
"Uralic","Finnish","suomi, suomen kieli","fi","fin",
"Indo-European","French","français, langue française","fr","fra","fre"
"Niger–Congo","Fula, Fulah, Pulaar, Pular","Fulfulde, Pulaar, Pular","ff","ful",
"Indo-European","Galician","galego","gl","glg",
"South Caucasian","Georgian","ქართული","ka","kat","geo"
"Indo-European","German","Deutsch","de","deu","ger"
"Indo-European","Greek (modern)","ελληνικά","el","ell","gre"
"Tupian","Guaraní","Avañe'ẽ","gn","grn",
"Indo-European","Gujarati","ગુજરાતી","gu","guj",
"Creole","Haitian, Haitian Creole","Kreyòl ayisyen","ht","hat",
"Afro-Asiatic","Hausa","(Hausa) هَوُسَ","ha","hau",
"Afro-Asiatic","Hebrew (modern)","עברית","he","heb",
"Niger–Congo","Herero","Otjiherero","hz","her",
"Indo-European","Hindi","हिन्दी, हिंदी","hi","hin",
"Austronesian","Hiri Motu","Hiri Motu","ho","hmo",
"Uralic","Hungarian","magyar","hu","hun",
"Constructed","Interlingua","Interlingua","ia","ina",
"Austronesian","Indonesian","Bahasa Indonesia","id","ind",
"Constructed","Interlingue","Originally called Occidental; then Interlingue after WWII","ie","ile",
"Indo-European","Irish","Gaeilge","ga","gle",
"Niger–Congo","Igbo","Asụsụ Igbo","ig","ibo",
"Eskimo–Aleut","Inupiaq","Iñupiaq, Iñupiatun","ik","ipk",
"Constructed","Ido","Ido","io","ido",
"Indo-European","Icelandic","Íslenska","is","isl","ice"
"Indo-European","Italian","Italiano","it","ita",
"Eskimo–Aleut","Inuktitut","ᐃᓄᒃᑎᑐᑦ","iu","iku",
"Japonic","Japanese","日本語 (にほんご)","ja","jpn",
"Austronesian","Javanese","ꦧꦱꦗꦮ, Basa Jawa","jv","jav",
"Eskimo–Aleut","Kalaallisut, Greenlandic","kalaallisut, kalaallit oqaasii","kl","kal",
"Dravidian","Kannada","ಕನ್ನಡ","kn","kan",
"Nilo-Saharan","Kanuri","Kanuri","kr","kau",
"Indo-European","Kashmiri","कश्मीरी, كشميري‎","ks","kas",
"Turkic","Kazakh","қазақ тілі","kk","kaz",
"Austroasiatic","Khmer","ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ","km","khm",
"Niger–Congo","Kikuyu, Gikuyu","Gĩkũyũ","ki","kik",
"Niger–Congo","Kinyarwanda","Ikinyarwanda","rw","kin",
"Turkic","Kyrgyz","Кыргызча, Кыргыз тили","ky","kir",
"Uralic","Komi","коми кыв","kv","kom",
"Niger–Congo","Kongo","Kikongo","kg","kon",
"Koreanic","Korean","한국어","ko","kor",
"Indo-European","Kurdish","Kurdî, كوردی‎","ku","kur",
"Niger–Congo","Kwanyama, Kuanyama","Kuanyama","kj","kua",
"Indo-European","Latin","latine, lingua latina","la","lat",
"Indo-European","Luxembourgish, Letzeburgesch","Lëtzebuergesch","lb","ltz",
"Niger–Congo","Ganda","Luganda","lg","lug",
"Indo-European","Limburgish, Limburgan, Limburger","Limburgs","li","lim",
"Niger–Congo","Lingala","Lingála","ln","lin",
"Tai–Kadai","Lao","ພາສາລາວ","lo","lao",
"Indo-European","Lithuanian","lietuvių kalba","lt","lit",
"Niger–Congo","Luba-Katanga","Tshiluba","lu","lub",
"Indo-European","Latvian","latviešu valoda","lv","lav",
"Indo-European","Manx","Gaelg, Gailck","gv","glv",
"Indo-European","Macedonian","македонски јазик","mk","mkd","mac"
"Austronesian","Malagasy","fiteny malagasy","mg","mlg",
"Austronesian","Malay","bahasa Melayu, بهاس ملايو‎","ms","msa","may"
"Dravidian","Malayalam","മലയാളം","ml","mal",
"Afro-Asiatic","Maltese","Malti","mt","mlt",
"Austronesian","Māori","te reo Māori","mi","mri","mao"
"Indo-European","Marathi (Marāṭhī)","मराठी","mr","mar",
"Austronesian","Marshallese","Kajin M̧ajeļ","mh","mah",
"Mongolic","Mongolian","Монгол хэл","mn","mon",
"Austronesian","Nauruan","Dorerin Naoero","na","nau",
"Dené–Yeniseian","Navajo, Navaho","Diné bizaad","nv","nav",
"Niger–Congo","Northern Ndebele","isiNdebele","nd","nde",
"Indo-European","Nepali","नेपाली","ne","nep",
"Niger–Congo","Ndonga","Owambo","ng","ndo",
"Indo-European","Norwegian Bokmål","Norsk bokmål","nb","nob",
"Indo-European","Norwegian Nynorsk","Norsk nynorsk","nn","nno",
"Indo-European","Norwegian","Norsk","no","nor",
"Sino-Tibetan","Nuosu","ꆈꌠ꒿ Nuosuhxop","ii","iii",
"Niger–Congo","Southern Ndebele","isiNdebele","nr","nbl",
"Indo-European","Occitan","occitan, lenga d'òc","oc","oci",
"Algonquian","Ojibwe, Ojibwa","ᐊᓂᔑᓈᐯᒧᐎᓐ","oj","oji",
"Indo-European","Old Church Slavonic, Church Slavonic, Old Bulgarian","ѩзыкъ словѣньскъ","cu","chu",
"Afro-Asiatic","Oromo","Afaan Oromoo","om","orm",
"Indo-European","Oriya","ଓଡ଼ିଆ","or","ori",
"Indo-European","Ossetian, Ossetic","ирон æвзаг","os","oss",
"Indo-European","(Eastern) Punjabi","ਪੰਜਾਬੀ","pa","pan",
"Indo-European","Pāli","पाऴि","pi","pli",
"Indo-European","Persian (Farsi)","فارسی","fa","fas","per"
"Indo-European","Polish","język polski, polszczyzna","pl","pol",
"Indo-European","Pashto, Pushto","پښتو","ps","pus",
"Indo-European","Portuguese","Português","pt","por",
"Quechuan","Quechua","Runa Simi, Kichwa","qu","que",
"Indo-European","Romansh","rumantsch grischun","rm","roh",
"Niger–Congo","Kirundi","Ikirundi","rn","run",
"Indo-European","Romanian","Română","ro","ron","rum"
"Indo-European","Russian","Русский","ru","rus",
"Indo-European","Sanskrit (Saṁskṛta)","संस्कृतम्","sa","san",
"Indo-European","Sardinian","sardu","sc","srd",
"Indo-European","Sindhi","सिन्धी, سنڌي، سندھی‎","sd","snd",
"Uralic","Northern Sami","Davvisámegiella","se","sme",
"Austronesian","Samoan","gagana fa'a Samoa","sm","smo",
"Creole","Sango","yângâ tî sängö","sg","sag",
"Indo-European","Serbian","српски језик","sr","srp",
"Indo-European","Scottish Gaelic, Gaelic","Gàidhlig","gd","gla",
"Niger–Congo","Shona","chiShona","sn","sna",
"Indo-European","Sinhalese, Sinhala","සිංහල","si","sin",
"Indo-European","Slovak","slovenčina, slovenský jazyk","sk","slk","slo"
"Indo-European","Slovene","slovenski jezik, slovenščina","sl","slv",
"Afro-Asiatic","Somali","Soomaaliga, af Soomaali","so","som",
"Niger–Congo","Southern Sotho","Sesotho","st","sot",
"Indo-European","Spanish","Español","es","spa",
"Austronesian","Sundanese","Basa Sunda","su","sun",
"Niger–Congo","Swahili","Kiswahili","sw","swa",
"Niger–Congo","Swati","SiSwati","ss","ssw",
"Indo-European","Swedish","svenska","sv","swe",
"Dravidian","Tamil","தமிழ்","ta","tam",
"Dravidian","Telugu","తెలుగు","te","tel",
"Indo-European","Tajik","тоҷикӣ, toçikī, تاجیکی‎","tg","tgk",
"Tai–Kadai","Thai","ไทย","th","tha",
"Afro-Asiatic","Tigrinya","ትግርኛ","ti","tir",
"Sino-Tibetan","Tibetan Standard, Tibetan, Central","བོད་ཡིག","bo","bod","tib"
"Turkic","Turkmen","Türkmen, Түркмен","tk","tuk",
"Austronesian","Tagalog","Wikang Tagalog","tl","tgl",
"Niger–Congo","Tswana","Setswana","tn","tsn",
"Austronesian","Tonga (Tonga Islands)","faka Tonga","to","ton",
"Turkic","Turkish","Türkçe","tr","tur",
"Niger–Congo","Tsonga","Xitsonga","ts","tso",
"Turkic","Tatar","татар теле, tatar tele","tt","tat",
"Niger–Congo","Twi","Twi","tw","twi",
"Austronesian","Tahitian","Reo Tahiti","ty","tah",
"Turkic","Uyghur","ئۇيغۇرچە‎, Uyghurche","ug","uig",
"Indo-European","Ukrainian","Українська","uk","ukr",
"Indo-European","Urdu","اردو","ur","urd",
"Turkic","Uzbek","Oʻzbek, Ўзбек, أۇزبېك‎","uz","uzb",
"Niger–Congo","Venda","Tshivenḓa","ve","ven",
"Austroasiatic","Vietnamese","Tiếng Việt","vi","vie",
"Constructed","Volapük","Volapük","vo","vol",
"Indo-European","Walloon","walon","wa","wln",
"Indo-European","Welsh","Cymraeg","cy","cym","wel"
"Niger–Congo","Wolof","Wollof","wo","wol",
"Indo-European","Western Frisian","Frysk","fy","fry",
"Niger–Congo","Xhosa","isiXhosa","xh","xho",
"Indo-European","Yiddish","ייִדיש","yi","yid",
"Niger–Congo","Yoruba","Yorùbá","yo","yor",
"Tai–Kadai","Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh","za","zha",
"Niger–Congo","Zulu","isiZulu","zu","zul",